o_apple_key,o_opendb_key,o_flag,apple_id,apple_Artist,apple_Track,apple_Album,apple_Track_Explicitness,apple_Album_Year,apple_Duration,opendb_id,opendb_Artist,opendb_Track,opendb_Album,opendb_Track_Explicitness,opendb_Album_Year,opendb_Duration
A2502,B10,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B10,Avi Snow,Breathe,Breathe,notExplicit,2022,248000
A5088,B15,True,A5088,Chicago,You're Not Alone,The Very Best of Chicago: Only the Beginning,notExplicit,1988,240560,B15,Amy Grant,You're Not Alone,Heart In Motion,notExplicit,1991,230000
A550,B16,True,A550,Kenny Chesney,Summertime,The Road and the Radio,notExplicit,2005,206587,B16,Niels-Henning Ørsted Pedersen,Summertime,"Elegies, Mostly",notExplicit,1995,423000
A4065,B45,True,A4065,Khalid,Better,Suncity - EP,explicit,2018,229319,B45,Def3,Better,Weddings & Funerals,Explicit,2021,156000
A7321,B48,True,A7321,Leo Sayer,When I Need You,The Very Best of Leo Sayer,notExplicit,1996,251733,B48,Avscvltate,When I Need You,Gregorian Chants - Nothing but the Best,notExplicit,2015,320000
A4493,B55,True,A4493,Alice Cooper,Poison,Alice Cooper Classicks,notExplicit,1989,269600,B55,The Long Tall Texans,Poison,In Without Knocking,notExplicit,1991,172000
A2123,B67,True,A2123,Blake Shelton,Do You Remember,Based On a True Story... (Deluxe Version),notExplicit,2013,209240,B67,Rob Arsenault,Do You Remember,Reaching Out,notExplicit,2018,199000
A303,B85,True,A303,Beyoncé,Heaven,BEYONCÉ,notExplicit,2013,230881,B85,Starix,Heaven,Heaven,notExplicit,2016,188000
A4493,B87,True,A4493,Alice Cooper,Poison,Alice Cooper Classicks,notExplicit,1989,269600,B87,Schlaasss,Poison,Casa Plaisance,Explicit,2017,230000
A2502,B94,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B94,Zena's World,Breathe,Breathe,notExplicit,2024,149000
A5384,B97,True,A5384,System Of A Down,Psycho,Toxicity,notExplicit,2001,225893,B97,Luca Agnelli,Psycho,Rocking Horse,notExplicit,2023,324000
A4176,B104,True,A4176,Britney Spears,Stronger,Greatest Hits: My Prerogative,notExplicit,2000,204400,B104,Yan Zapolsky,Stronger,Stronger,notExplicit,2020,283000
A3170,B107,True,A3170,Billy Joel,You're My Home,The Essential Billy Joel,notExplicit,1973,193844,B107,Maria Aragon,You're My Home,Maria Aragon,notExplicit,2011,204000
A1852,B112,True,A1852,Panic! At the Disco,Golden Days,Death of a Bachelor,notExplicit,2016,254324,B112,Bucks Fizz,Golden Days,The Best Of Bucks Fizz,notExplicit,1994,253000
A918,B127,True,A918,One Direction,Little White Lies,Midnight Memories (Deluxe Edition),notExplicit,2013,197920,B127,Julie London,Little White Lies,"Julie Is Her Name, Vol. 2",notExplicit,1958,168000
A5507,B128,True,A5507,Coldplay,Clocks,A Rush of Blood to the Head,notExplicit,2002,306906,B128,Immortal Guardian,Clocks,Clocks,notExplicit,2021,313000
A6695,B130,True,A6695,Bethel Music & Steffany Gretzinger,Pieces,Have It All (Live),notExplicit,2016,339871,B130,Dinosaur Jr.,Pieces,Farm (15th Anniversary Edition),notExplicit,2024,271000
A5384,B131,True,A5384,System Of A Down,Psycho,Toxicity,notExplicit,2001,225893,B131,Lead Pipe,Psycho,Psycho,Explicit,2020,224000
A5263,B133,True,A5263,The Lumineers,In the Light,Cleopatra (Deluxe),notExplicit,2016,231868,B133,Zombic,In the Light,In the Light,notExplicit,2022,156000
A473,B135,True,A473,Fleetwood Mac,Dreams,Greatest Hits,notExplicit,1987,254453,B135,Points Of Conception,Dreams,Dreams,notExplicit,2022,202000
